ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",0,"Total",80984,11074,"Census Tract 2, Story County, IA","14000US19169000200"
2022,"2022",0,"Total",69676,10851,"Census Tract 3, Story County, IA","14000US19169000300"
2022,"2022",0,"Total",71739,15559.000000000002,"Census Tract 4, Story County, IA","14000US19169000400"
2022,"2022",0,"Total",20705,5081,"Census Tract 5, Story County, IA","14000US19169000500"
2022,"2022",0,"Total",80337,10493,"Census Tract 6, Story County, IA","14000US19169000600"
2022,"2022",0,"Total",26318,9914,"Census Tract 7, Story County, IA","14000US19169000700"
2022,"2022",0,"Total",74262,3696.9999999999995,"Census Tract 9, Story County, IA","14000US19169000900"
2022,"2022",0,"Total",44006,7353,"Census Tract 10, Story County, IA","14000US19169001000"
2022,"2022",0,"Total",139853,44540,"Census Tract 12, Story County, IA","14000US19169001200"
2022,"2022",0,"Total",63192,5690,"Census Tract 13.02, Story County, IA","14000US19169001302"
2021,"2021",0,"Total",73774,5485,"Census Tract 2, Story County, IA","14000US19169000200"
2021,"2021",0,"Total",63374,7585.999999999999,"Census Tract 3, Story County, IA","14000US19169000300"
2021,"2021",0,"Total",65952,15445.000000000002,"Census Tract 4, Story County, IA","14000US19169000400"
2021,"2021",0,"Total",18490,6052,"Census Tract 5, Story County, IA","14000US19169000500"
2021,"2021",0,"Total",78938,14941.999999999998,"Census Tract 6, Story County, IA","14000US19169000600"
2021,"2021",0,"Total",25583,7408,"Census Tract 7, Story County, IA","14000US19169000700"
2021,"2021",0,"Total",68466,4572,"Census Tract 9, Story County, IA","14000US19169000900"
2021,"2021",0,"Total",34112,10886,"Census Tract 10, Story County, IA","14000US19169001000"
2021,"2021",0,"Total",129000,31439.999999999996,"Census Tract 12, Story County, IA","14000US19169001200"
2021,"2021",0,"Total",57797,7021,"Census Tract 13.02, Story County, IA","14000US19169001302"
2020,"2020",0,"Total",71213,7513.000000000001,"Census Tract 2, Story County, IA","14000US19169000200"
2020,"2020",0,"Total",62780,3931.0000000000005,"Census Tract 3, Story County, IA","14000US19169000300"
2020,"2020",0,"Total",58839,15149,"Census Tract 4, Story County, IA","14000US19169000400"
2020,"2020",0,"Total",19032,6032,"Census Tract 5, Story County, IA","14000US19169000500"
2020,"2020",0,"Total",73062,9430,"Census Tract 6, Story County, IA","14000US19169000600"
2020,"2020",0,"Total",20424,7032.000000000001,"Census Tract 7, Story County, IA","14000US19169000700"
2020,"2020",0,"Total",63731,5454,"Census Tract 9, Story County, IA","14000US19169000900"
2020,"2020",0,"Total",28595,4088.0000000000005,"Census Tract 10, Story County, IA","14000US19169001000"
2020,"2020",0,"Total",121833,37856,"Census Tract 12, Story County, IA","14000US19169001200"
2020,"2020",0,"Total",56456,4575,"Census Tract 13.02, Story County, IA","14000US19169001302"
2019,"2019",0,"Total",65995,9802,"Census Tract 2, Story County, IA","14000US19169000200"
2019,"2019",0,"Total",60747,6637,"Census Tract 3, Story County, IA","14000US19169000300"
2019,"2019",0,"Total",69375,5687,"Census Tract 4, Story County, IA","14000US19169000400"
2019,"2019",0,"Total",18535,2382,"Census Tract 5, Story County, IA","14000US19169000500"
2019,"2019",0,"Total",71809,9038,"Census Tract 6, Story County, IA","14000US19169000600"
2019,"2019",0,"Total",22938,5082,"Census Tract 7, Story County, IA","14000US19169000700"
2019,"2019",0,"Total",57101,5400,"Census Tract 9, Story County, IA","14000US19169000900"
2019,"2019",0,"Total",26169,3934.9999999999995,"Census Tract 10, Story County, IA","14000US19169001000"
2019,"2019",0,"Total",35785,6889,"Census Tract 11, Story County, IA","14000US19169001100"
2019,"2019",0,"Total",146000,7715.000000000001,"Census Tract 12, Story County, IA","14000US19169001200"
2019,"2019",0,"Total",40440,6285,"Census Tract 13.01, Story County, IA","14000US19169001301"
2019,"2019",0,"Total",60255,11476,"Census Tract 13.02, Story County, IA","14000US19169001302"
2018,"2018",0,"Total",66563,8287,"Census Tract 2, Story County, IA","14000US19169000200"
2018,"2018",0,"Total",59531,4395,"Census Tract 3, Story County, IA","14000US19169000300"
2018,"2018",0,"Total",70250,5328,"Census Tract 4, Story County, IA","14000US19169000400"
2018,"2018",0,"Total",15747,2426,"Census Tract 5, Story County, IA","14000US19169000500"
2018,"2018",0,"Total",65927,12450,"Census Tract 6, Story County, IA","14000US19169000600"
2018,"2018",0,"Total",22500,3528,"Census Tract 7, Story County, IA","14000US19169000700"
2018,"2018",0,"Total",55547,8148.999999999999,"Census Tract 9, Story County, IA","14000US19169000900"
2018,"2018",0,"Total",21860,5604,"Census Tract 10, Story County, IA","14000US19169001000"
