ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2022,"2022",607,"Ames, IA","16000US1901855","ames-ia",51902,0.7832490756809779
0,"White Alone",1,"Hispanic or Latino",2022,"2022",230,"Ames, IA","16000US1901855","ames-ia",916,0.013823285293895721
1,"Black or African American Alone",0,"Not Hispanic or Latino",2022,"2022",256,"Ames, IA","16000US1901855","ames-ia",2108,0.031811665283332076
1,"Black or African American Alone",1,"Hispanic or Latino",2022,"2022",9,"Ames, IA","16000US1901855","ames-ia",6,0.00009054553685957896
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2022,"2022",36,"Ames, IA","16000US1901855","ames-ia",81,0.001222364747604316
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2022,"2022",62,"Ames, IA","16000US1901855","ames-ia",120,0.0018109107371915793
3,"Asian Alone",0,"Not Hispanic or Latino",2022,"2022",409,"Ames, IA","16000US1901855","ames-ia",6678,0.10077718252471139
3,"Asian Alone",1,"Hispanic or Latino",2022,"2022",15.000000000000002,"Ames, IA","16000US1901855","ames-ia",12,0.00018109107371915793
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2022,"2022",30.000000000000004,"Ames, IA","16000US1901855","ames-ia",22,0.0003320003018184562
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2022,"2022",43,"Ames, IA","16000US1901855","ames-ia",23,0.00034709122462838604
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2022,"2022",86,"Ames, IA","16000US1901855","ames-ia",121,0.001826001660001509
5,"Some Other Race Alone",1,"Hispanic or Latino",2022,"2022",219,"Ames, IA","16000US1901855","ames-ia",926,0.01397419452199502
6,"Two or More Races",0,"Not Hispanic or Latino",2022,"2022",568.9578191746731,"Ames, IA","16000US1901855","ames-ia",2774,0.04186221987474534
6,"Two or More Races",1,"Hispanic or Latino",2022,"2022",191.59592897553958,"Ames, IA","16000US1901855","ames-ia",576,0.00869237153851958
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",591,"Ames, IA","16000US1901855","ames-ia",51427,0.7848814138762553
0,"White Alone",1,"Hispanic or Latino",2021,"2021",285,"Ames, IA","16000US1901855","ames-ia",1356,0.020695338970116908
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",270,"Ames, IA","16000US1901855","ames-ia",2008,0.030646195171087572
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",17,"Ames, IA","16000US1901855","ames-ia",9,0.0001373584444919264
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",50,"Ames, IA","16000US1901855","ames-ia",78,0.0011904398522633618
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",35,"Ames, IA","16000US1901855","ames-ia",52,0.0007936265681755746
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",378,"Ames, IA","16000US1901855","ames-ia",6888,0.10512499618448766
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",20,"Ames, IA","16000US1901855","ames-ia",16,0.0002441927902078691
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",24,"Ames, IA","16000US1901855","ames-ia",14,0.00021366869143188546
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",24,"Ames, IA","16000US1901855","ames-ia",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",83,"Ames, IA","16000US1901855","ames-ia",107,0.0016330392845151248
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",222,"Ames, IA","16000US1901855","ames-ia",654,0.00998138029974665
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",568.1003432493243,"Ames, IA","16000US1901855","ames-ia",2516,0.038399316260187416
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",124.06449935416659,"Ames, IA","16000US1901855","ames-ia",397,0.006059033607032752
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",448,"Ames, IA","16000US1901855","ames-ia",51826,0.7809707508928437
0,"White Alone",1,"Hispanic or Latino",2020,"2020",333,"Ames, IA","16000US1901855","ames-ia",1556,0.023447506818764032
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",316,"Ames, IA","16000US1901855","ames-ia",1996,0.030077907204532784
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",20,"Ames, IA","16000US1901855","ames-ia",18,0.0002712436521450852
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",47,"Ames, IA","16000US1901855","ames-ia",99,0.0014918400867979687
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",15.000000000000002,"Ames, IA","16000US1901855","ames-ia",21,0.00031645092750259943
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",325,"Ames, IA","16000US1901855","ames-ia",7576,0.1141634393695092
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",19,"Ames, IA","16000US1901855","ames-ia",15,0.00022603637678757102
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",23,"Ames, IA","16000US1901855","ames-ia",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",23,"Ames, IA","16000US1901855","ames-ia",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",65,"Ames, IA","16000US1901855","ames-ia",58,0.0008740073235786079
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",189,"Ames, IA","16000US1901855","ames-ia",645,0.009719564201865554
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",455.92323915325926,"Ames, IA","16000US1901855","ames-ia",2227,0.03355886740706138
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",137.93114224133723,"Ames, IA","16000US1901855","ames-ia",324,0.004882385738611534
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",391,"Ames, IA","16000US1901855","ames-ia",51949,0.7868318616239796
0,"White Alone",1,"Hispanic or Latino",2019,"2019",258,"Ames, IA","16000US1901855","ames-ia",1717,0.02600608878724081
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",318,"Ames, IA","16000US1901855","ames-ia",2041,0.03091346954849068
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",70,"Ames, IA","16000US1901855","ames-ia",62,0.0009390666888811474
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",59,"Ames, IA","16000US1901855","ames-ia",136,0.002059888220771549
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",18,"Ames, IA","16000US1901855","ames-ia",21,0.0003180709752661951
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",306,"Ames, IA","16000US1901855","ames-ia",7498,0.1135664844069491
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",27,"Ames, IA","16000US1901855","ames-ia",20,0.00030292473834875723
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",23,"Ames, IA","16000US1901855","ames-ia",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",23,"Ames, IA","16000US1901855","ames-ia",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",57.00000000000001,"Ames, IA","16000US1901855","ames-ia",53,0.0008027505566242068
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",203,"Ames, IA","16000US1901855","ames-ia",575,0.008709086227526771
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",398.20848810641894,"Ames, IA","16000US1901855","ames-ia",1743,0.026399890947094194
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",107.35455276791944,"Ames, IA","16000US1901855","ames-ia",208,0.0031504172788270756
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",427.99999999999994,"Ames, IA","16000US1901855","ames-ia",52355,0.7940154996435992
0,"White Alone",1,"Hispanic or Latino",2018,"2018",297,"Ames, IA","16000US1901855","ames-ia",1907,0.02892154632452189
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",328,"Ames, IA","16000US1901855","ames-ia",1639,0.024857060527473194
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",64,"Ames, IA","16000US1901855","ames-ia",54,0.0008189635561217526
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",57.99999999999999,"Ames, IA","16000US1901855","ames-ia",125,0.001895748972504057
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",22,"Ames, IA","16000US1901855","ames-ia",0,0
