ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
0,"Drove Alone",2022,"2022",22417,1082,"Ames, IA","16000US1901855","ames-ia",0.6401747722534769
1,"Carpooled",2022,"2022",2727,568.3678386397316,"Ames, IA","16000US1901855","ames-ia",0.07787646000514035
2,"Public Transit",2022,"2022",2436,406.8414924758781,"Ames, IA","16000US1901855","ames-ia",0.06956621069766114
3,"Taxi",2022,"2022",0,24,"Ames, IA","16000US1901855","ames-ia",0
4,"Motorcycle",2022,"2022",19,23,"Ames, IA","16000US1901855","ames-ia",0.0005425935973955507
5,"Bicycle",2022,"2022",592,187,"Ames, IA","16000US1901855","ames-ia",0.016906074192535054
6,"Walked",2022,"2022",3114,432,"Ames, IA","16000US1901855","ames-ia",0.088928234857355
7,"Other",2022,"2022",148,103,"Ames, IA","16000US1901855","ames-ia",0.0042265185481337635
8,"Worked At Home",2022,"2022",3564,543,"Ames, IA","16000US1901855","ames-ia",0.10177913584830225
0,"Drove Alone",2021,"2021",21645,962,"Ames, IA","16000US1901855","ames-ia",0.6428380505479493
1,"Carpooled",2021,"2021",2402,489.91938112305786,"Ames, IA","16000US1901855","ames-ia",0.07133735261797987
2,"Public Transit",2021,"2021",2478,419.7534990920266,"Ames, IA","16000US1901855","ames-ia",0.07359448783819904
3,"Taxi",2021,"2021",0,24,"Ames, IA","16000US1901855","ames-ia",0
4,"Motorcycle",2021,"2021",37,37,"Ames, IA","16000US1901855","ames-ia",0.001098868462475127
5,"Bicycle",2021,"2021",863,250.99999999999997,"Ames, IA","16000US1901855","ames-ia",0.025630364408541474
6,"Walked",2021,"2021",2963,408,"Ames, IA","16000US1901855","ames-ia",0.08799857444091355
7,"Other",2021,"2021",153,96,"Ames, IA","16000US1901855","ames-ia",0.004543969588072822
8,"Worked At Home",2021,"2021",3130,494.99999999999994,"Ames, IA","16000US1901855","ames-ia",0.09295833209586885
0,"Drove Alone",2020,"2020",22615,1111,"Ames, IA","16000US1901855","ames-ia",0.6586381640260951
1,"Carpooled",2020,"2020",2365,554.3383443349378,"Ames, IA","16000US1901855","ames-ia",0.06887814538676608
2,"Public Transit",2020,"2020",2724,512.0703076726867,"Ames, IA","16000US1901855","ames-ia",0.0793336439888164
3,"Taxi",2020,"2020",0,23,"Ames, IA","16000US1901855","ames-ia",0
4,"Motorcycle",2020,"2020",36,36,"Ames, IA","16000US1901855","ames-ia",0.001048462255358807
5,"Bicycle",2020,"2020",907,234.00000000000003,"Ames, IA","16000US1901855","ames-ia",0.02641542404473439
6,"Walked",2020,"2020",3030,383,"Ames, IA","16000US1901855","ames-ia",0.08824557315936626
7,"Other",2020,"2020",169,106.99999999999999,"Ames, IA","16000US1901855","ames-ia",0.004921947809878844
8,"Worked At Home",2020,"2020",2490,423.00000000000006,"Ames, IA","16000US1901855","ames-ia",0.07251863932898416
